price,year,odometer,manufacturer,condition,cylinders,fuel,title_status,transmission,drive,type,paint_color
36990,2017.0,38094.0,ford,good,6 cylinders,gas,clean,other,4wd,pickup,white
14000,2013.0,92965.0,bmw,good,6 cylinders,gas,clean,automatic,rwd,sedan,unknown
676,2019.0,47105.0,chevrolet,good,8 cylinders,other,clean,automatic,4wd,pickup,black
2744,2002.0,229031.0,chrysler,excellent,6 cylinders,gas,clean,automatic,fwd,mini-van,blue
15293,2015.0,36646.0,outro,excellent,4 cylinders,gas,clean,automatic,fwd,SUV,white
4500,2008.0,111000.0,hyundai,good,4 cylinders,gas,clean,automatic,fwd,sedan,silver
22991,2016.0,79631.0,ford,good,4 cylinders,gas,clean,automatic,rwd,other,custom
41995,2015.0,158039.0,chevrolet,good,8 cylinders,gas,clean,automatic,4wd,other,white
10950,2010.0,150900.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,red
362,2010.0,108674.0,gmc,good,8 cylinders,other,clean,other,4wd,hatchback,silver
16990,2013.0,137000.0,ford,good,6 cylinders,gas,clean,automatic,rwd,pickup,green
37590,2015.0,61163.0,outro,good,6 cylinders,other,clean,other,rwd,other,white
23000,2017.0,31500.0,ford,like new,6 cylinders,gas,clean,automatic,4wd,sedan,black
13995,2013.0,156190.0,ford,good,8 cylinders,gas,clean,automatic,4wd,SUV,silver
17995,2014.0,106267.0,infiniti,good,6 cylinders,gas,clean,automatic,4wd,sedan,white
35590,2018.0,19458.0,gmc,good,8 cylinders,other,clean,other,4wd,pickup,black
7999,2009.0,89000.0,ford,good,6 cylinders,gas,clean,automatic,4wd,SUV,black
24900,2013.0,127295.0,gmc,good,8 cylinders,other,clean,automatic,4wd,pickup,white
11995,2007.0,192493.0,gmc,good,8 cylinders,other,clean,automatic,fwd,pickup,black
16990,2017.0,46260.0,volkswagen,good,4 cylinders,gas,clean,other,fwd,wagon,blue
4495,2005.0,123000.0,honda,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,black
22990,2018.0,43425.0,subaru,good,4 cylinders,gas,clean,other,4wd,hatchback,unknown
15990,2018.0,42060.0,volkswagen,good,4 cylinders,gas,clean,automatic,fwd,sedan,silver
9994,2012.0,98083.0,kia,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
19000,2012.0,184363.0,ram,good,6 cylinders,diesel,clean,manual,4wd,pickup,unknown
19990,2018.0,25641.0,outro,good,4 cylinders,gas,clean,other,4wd,hatchback,white
5295,2007.0,186000.0,jeep,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,blue
8488,2008.0,70816.0,hyundai,excellent,4 cylinders,gas,clean,automatic,fwd,SUV,black
8995,2011.0,106540.0,nissan,good,4 cylinders,gas,clean,automatic,fwd,sedan,blue
16995,2020.0,370.0,kia,good,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
36590,2018.0,29158.0,bmw,good,6 cylinders,gas,clean,other,rwd,convertible,white
39995,2018.0,30120.0,ford,good,8 cylinders,other,clean,automatic,rwd,van,white
2800,2004.0,193000.0,ford,good,6 cylinders,gas,clean,automatic,rwd,SUV,grey
34995,2017.0,68696.0,toyota,good,6 cylinders,other,clean,other,fwd,other,unknown
35990,2018.0,27890.0,nissan,good,8 cylinders,gas,clean,other,4wd,pickup,unknown
2300,1972.0,12345.0,chevrolet,good,8 cylinders,other,clean,other,4wd,pickup,unknown
9800,2010.0,174000.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,red
5950,2008.0,174000.0,chevrolet,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,unknown
97,2010.0,121451.0,chrysler,good,6 cylinders,gas,clean,automatic,fwd,sedan,unknown
37200,2008.0,18000.0,chevrolet,excellent,other,gas,clean,automatic,rwd,convertible,silver
34988,2017.0,51026.0,jeep,good,6 cylinders,other,clean,automatic,4wd,other,red
41000,2015.0,50809.0,cadillac,good,6 cylinders,gas,clean,automatic,4wd,other,silver
5495,2006.0,178830.0,acura,good,6 cylinders,gas,clean,automatic,fwd,SUV,silver
33990,2014.0,136250.0,ford,good,8 cylinders,diesel,clean,automatic,4wd,truck,white
22800,2015.0,55900.0,bmw,excellent,6 cylinders,gas,clean,automatic,4wd,sedan,unknown
8800,2013.0,108400.0,honda,excellent,4 cylinders,gas,clean,automatic,fwd,coupe,black
22900,2014.0,32561.0,ford,good,6 cylinders,gas,clean,automatic,4wd,truck,grey
35590,2018.0,22805.0,ram,good,6 cylinders,other,clean,other,4wd,pickup,black
1250,1995.0,214000.0,chrysler,good,6 cylinders,gas,clean,automatic,fwd,sedan,blue
16899,2013.0,113249.0,bmw,good,6 cylinders,gas,clean,automatic,rwd,sedan,black
12499,2012.0,69929.0,chevrolet,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,red
29590,2018.0,23823.0,lexus,good,6 cylinders,gas,clean,other,fwd,hatchback,unknown
27995,2016.0,52278.0,lexus,excellent,6 cylinders,hybrid,clean,automatic,fwd,sedan,unknown
4500,1953.0,60000.0,chevrolet,fair,6 cylinders,gas,clean,automatic,fwd,sedan,blue
36590,2016.0,22099.0,audi,good,6 cylinders,gas,clean,other,4wd,other,silver
4500,2004.0,148000.0,outro,good,5 cylinders,gas,clean,automatic,4wd,sedan,unknown
29990,2012.0,43182.0,toyota,good,6 cylinders,gas,clean,other,4wd,pickup,white
9850,2013.0,85155.0,volkswagen,good,4 cylinders,gas,clean,other,fwd,sedan,black
23995,2017.0,86598.0,lexus,good,6 cylinders,gas,clean,automatic,fwd,other,silver
28800,2004.0,147000.0,lexus,good,8 cylinders,gas,clean,automatic,4wd,SUV,silver
25990,2020.0,3533.0,kia,good,6 cylinders,gas,clean,other,fwd,SUV,white
20590,2015.0,43470.0,volkswagen,good,4 cylinders,gas,clean,automatic,fwd,convertible,black
18590,2017.0,34723.0,mazda,good,4 cylinders,gas,clean,other,fwd,hatchback,blue
7000,2015.0,64000.0,hyundai,excellent,4 cylinders,gas,salvage,automatic,fwd,sedan,blue
15800,2016.0,70678.0,subaru,like new,4 cylinders,gas,clean,automatic,4wd,wagon,silver
4991,2011.0,140778.0,jeep,excellent,4 cylinders,gas,clean,automatic,fwd,SUV,silver
29978,2015.0,128558.0,ford,good,8 cylinders,gas,clean,automatic,4wd,pickup,black
37590,2018.0,33038.0,bmw,good,6 cylinders,gas,clean,automatic,rwd,SUV,blue
9800,2014.0,76000.0,toyota,excellent,4 cylinders,gas,salvage,automatic,fwd,sedan,red
11800,2008.0,174000.0,gmc,excellent,8 cylinders,gas,clean,automatic,4wd,SUV,silver
11000,2011.0,95300.0,acura,excellent,6 cylinders,gas,clean,automatic,fwd,sedan,grey
33000,1958.0,20000.0,chevrolet,like new,8 cylinders,gas,clean,automatic,rwd,wagon,red
6700,2005.0,163738.0,honda,excellent,6 cylinders,gas,clean,automatic,4wd,SUV,silver
5900,2011.0,143000.0,kia,excellent,6 cylinders,gas,clean,automatic,fwd,sedan,red
25300,2018.0,9300.0,bmw,excellent,4 cylinders,gas,rebuilt,automatic,4wd,SUV,black
17950,2015.0,142715.0,gmc,good,8 cylinders,gas,clean,automatic,rwd,van,white
27990,2018.0,46599.0,outro,good,5 cylinders,gas,clean,other,fwd,sedan,silver
5500,2003.0,180000.0,ford,good,8 cylinders,gas,clean,manual,4wd,pickup,unknown
21990,2014.0,50293.0,bmw,good,6 cylinders,gas,clean,other,rwd,coupe,blue
25998,2019.0,38123.0,toyota,good,4 cylinders,gas,clean,automatic,4wd,wagon,unknown
13000,2014.0,32500.0,ford,excellent,4 cylinders,gas,clean,automatic,fwd,pickup,white
15990,2012.0,53270.0,lincoln,good,6 cylinders,hybrid,clean,other,fwd,sedan,white
26000,2019.0,16900.0,ford,like new,6 cylinders,gas,lien,automatic,rwd,truck,black
25000,1932.0,17355.0,chevrolet,good,8 cylinders,gas,clean,manual,4wd,pickup,unknown
4500,2010.0,174000.0,honda,good,4 cylinders,gas,clean,automatic,fwd,sedan,red
14900,2013.0,105115.0,bmw,excellent,6 cylinders,gas,clean,automatic,fwd,coupe,white
37990,2016.0,22870.0,toyota,good,8 cylinders,gas,clean,other,4wd,pickup,black
35990,2017.0,22226.0,ford,good,8 cylinders,other,clean,other,4wd,pickup,blue
11999,2006.0,104683.0,lexus,excellent,6 cylinders,gas,clean,automatic,rwd,sedan,grey
5900,1989.0,138000.0,toyota,good,4 cylinders,gas,clean,manual,fwd,pickup,white
4495,2013.0,230200.0,ford,good,4 cylinders,gas,clean,automatic,fwd,SUV,green
6500,2013.0,45262.0,ford,good,6 cylinders,gas,clean,automatic,rwd,coupe,red
48995,2020.0,34464.0,outro,good,8 cylinders,gas,clean,automatic,4wd,SUV,white
59999,2019.0,28073.0,gmc,good,8 cylinders,gas,clean,automatic,4wd,truck,black
11999,2015.0,59000.0,kia,excellent,4 cylinders,gas,clean,automatic,fwd,sedan,unknown
24590,2017.0,40784.0,chevrolet,good,6 cylinders,gas,clean,other,4wd,pickup,white
